Compound Code,PubChem ID,PubChem SMILES,mol SMILES,equal SMILES
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,O=C[C@@H]1CC[C@H]([C@]2([C@H]1[C@H]1OC(=O)C(C1CC2)C)C)O,No
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
